stop_name,stop_ids,max_distance_m,example_stop_id_a,example_stop_id_b
Hälla,2,108.84497796651871,9022005003128001,9022005003128002
Alléskolan,2,108.06574214763268,9022005003624001,9022005003624002
Fårsaxvägen,2,107.92513964402667,9022005003844002,9022005003844001
Nya kyrkogården,2,107.46518687888903,9022005001533001,9022005001533002
Dala,2,106.92806620706288,9022005003813001,9022005003813002
Gamla Vimmerbyvägen,2,106.76178486077397,9022005002353002,9022005002353001
Vinkelvägen,2,106.69531708413795,9022005002972002,9022005002972001
Östanskog,2,106.58216830260628,9022005002957002,9022005002957001
Hangaren,2,106.4662556341002,9022005001341001,9022005001341002
Rönövägen,2,105.7352651799393,9022005001687002,9022005001687001
Oxåker,2,105.38900522866449,9022005001637002,9022005001637001
Kulbanegatan,2,105.09170652564791,9022005004079001,9022005004079002
Kyrkbacken,2,105.0150635085779,9022005001944001,9022005001944002
Erikslundsplan,2,104.87966869284301,9022005001351002,9022005001351001
Syréngatan,2,104.71140897677246,9022005002247002,9022005002247001
Gamla Linköping,4,104.54888886346441,9022005000215004,9022005000215002
Njölhult,2,104.39038754288944,9022005002358002,9022005002358001
Lökebo,2,104.3605544897635,9022005002675001,9022005002675002
Middagsgatan,2,104.25310196162619,9022005001230001,9022005001230002
Idögatan,2,103.78250579192958,9022005001605001,9022005001605002
Stångebro,2,103.72209212948287,9022005001458001,9022005001458002
Lövstad krog,2,103.6867154715462,9022005002180001,9022005002180002
Boet,2,103.6413108464036,9022005000388001,9022005000388002
Solgården,2,103.40950928131193,9022005003275001,9022005003275002
Bråborg,2,103.35215455620269,9022005001747001,9022005001747002
Verkstadstorget,2,103.2726940966016,9022005002241002,9022005002241001
Vänsterkroken,3,103.00434477604716,9022005002293003,9022005002293002
Ängesby,2,102.95223268109083,9022005003170001,9022005003170002
Trädgårdstorget,3,102.83206286975734,9022005000046004,9022005000046003
Utterstadsvägen,2,102.81905652058951,9022005003352002,9022005003352001
Forsaström,2,102.38935075143445,9022005002579001,9022005002579002
Ringeby,2,102.37453584998065,9022005001356001,9022005001356002
Kvillinge vägkors,2,102.33511876620645,9022005001597001,9022005001597002
Spjutkärr,2,102.23708512348935,9022005002091002,9022005002091001
Sandviken,3,101.95708312198508,9022005000100002,9022005000100001
Trostad,2,101.90395318648255,9022005002187001,9022005002187002
Bona vägkors,2,101.76054474824399,9022005003116001,9022005003116002
Länningsätter,2,101.67758813365148,9022005002925002,9022005002925001
Gullfallet,2,101.67194011328657,9022005003042002,9022005003042001
Malmskogen,2,101.66298140445976,9022005001463001,9022005001463002
Friggestorp,2,101.65383288435018,9022005002577001,9022005002577002
Tenngatan,2,101.29841718611786,9022005000055001,9022005000055002
Höglycke,2,101.22286750764844,9022005000343002,9022005000343001
Ramshällsvägen,2,100.83609308097563,9022005003693001,9022005003693002
Knäck,2,100.42724241195081,9022005002464002,9022005002464001
Viskarpsvägen,2,100.37788902405194,9022005003389002,9022005003389001
Näsby allé,2,100.05696153223597,9022005002030001,9022005002030002
Borgs kyrka,2,99.62433911400316,9022005002009001,9022005002009002
Butbro vägkors,2,99.55681901643452,9022005000156002,9022005000156001
Berga centrum,2,99.47229715198009,9022005001430001,9022005001430002
Nykils kyrka,2,99.39942809347289,9022005000317002,9022005000317001
Ribbvägen,2,99.3668799883815,9022005001470001,9022005001470002
Bankekindsvägen,2,99.08610434553468,9022005002713001,9022005002713002
Norsholms centrum,2,98.99044057585452,9022005000073001,9022005000073002
Släntom,2,98.86586355513828,9022005002893002,9022005002893001
Regementsgatan,2,98.59570816360237,9022005003402001,9022005003402002
Stora Lundsvägen,2,98.57599571863722,9022005002370001,9022005002370002
Egebyåsen,2,98.32358271723416,9022005002397002,9022005002397001
Rödje,2,98.30956599810261,9022005003292001,9022005003292002
Vårdcentralen Brinken,2,98.10301502859396,9022005002315002,9022005002315001
Sund,2,97.97280358760116,9022005003027002,9022005003027001
Skravestad,2,97.67828818489814,9022005002716001,9022005002716002
Loddby Allé,2,97.5536154310084,9022005081014002,9022005081014001
Nyhult,2,97.28308574317579,9022005002563002,9022005002563001
Klosterstad,2,97.2454167655049,9022005002398002,9022005002398001
Mårbacka,2,97.10677422335777,9022005003067002,9022005003067001
Högåsa,2,97.04862093361763,9022005002641001,9022005002641002
Skeda Udde,2,96.85141592618797,9022005000271001,9022005000271002
Cementfabriken,2,96.8115217155385,9022005002574002,9022005002574001
Bangrindarna,2,96.80013425636074,9022005001560001,9022005001560002
Skackelstadvägen,2,96.41744692879135,9022005001485001,9022005001485002
Vårdcentralen Ekholmen,2,96.41483818213132,9022005001324001,9022005001324002
Studstorp,2,95.88354070920035,9022005000410002,9022005000410001
Sommarbo,2,95.5525409471679,9022005001617001,9022005001617002
Lötenborg,2,95.39156465039937,9022005001563001,9022005001563002
Skarsätter,2,95.17683922521984,9022005001213002,9022005001213001
Krokhagen 1,2,95.02232531333243,9022005001510001,9022005001510002
Grebovallen,2,95.00668947807715,9022005002537002,9022005002537001
Sjöbacka bro,2,94.97389738332875,9022005002645001,9022005002645002
Strågatan,2,94.71077844987842,9022005001229001,9022005001229002
Karlsäng,2,94.15087618256374,9022005003152002,9022005003152001
Gallestad,2,94.043341000751,9022005001677002,9022005001677001
