derived_transition_activity,old_trip_id,next_trip_id,old_route_short_name,next_route_short_name,route_short_name_changed,old_direction_id,next_direction_id,time_gap_minutes,old_last_stop_sequence,next_first_stop_sequence,old_last_stop_name,next_first_stop_name,old_last_stop_lat,old_last_stop_lon,transition_distance_m,transition_distance_km,threshold_m
repositioning_pause,tr03_578,tr03_582,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_579,tr03_540,3,3,False,1,1,69.38333333333334,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_580,tr03_541,3,3,False,1,1,70.6,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_581,tr03_670,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_582,tr03_600,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_597,tr03_577,3,3,False,1,1,356.1,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_600,tr03_671,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_605,tr03_579,3,3,False,1,1,66.43333333333334,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_612,tr03_614,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_614,tr03_669,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_660,tr03_538,3,3,False,1,1,63.71666666666667,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
repositioning_pause,tr03_662,tr03_498,3,3,False,1,1,,21,1,Klockaretorpets vändplats,Vidablick,58.575505,16.125798,3965.3478453292655,3.9653478453292657,75
